,uuid,title,description,station,station_code,show_priority,show_times,since,till
726,3bbc5933-d828-3075-8685-d71e7fc4683e,Aktuální reportáže a nejrychlejší zpravodajství,Moderuje Hanka Shánělová.,4082f63f-30e8-375d-a326-b32cf7d86e02,1,0,,2023-06-05 15:06:00+02:00,2023-06-05 16:00:00+02:00
727,1119060d-39b5-30c4-a31f-0ca6bb9dd7e8,"Aktuální reportáže, nejrychlejší zpravodajství i ekonomické aktuality",Moderuje Štěpán Pokorný.,4082f63f-30e8-375d-a326-b32cf7d86e02,1,0,,2023-06-05 16:06:00+02:00,2023-06-05 17:00:00+02:00
728,6bb2daba-00fd-3c8d-ad7b-6c6864f1d680,"Aktuální reportáže, nejrychlejší zpravodajství i ekonomické aktuality",Moderuje Štěpán Pokorný.,4082f63f-30e8-375d-a326-b32cf7d86e02,1,0,,2023-06-05 17:06:00+02:00,2023-06-05 18:00:00+02:00
729,5ad9d3ea-da52-3bbf-857c-b07f50e47662,"Aktuální reportáže, nejrychlejší zpravodajství i ekonomické aktuality",Moderuje Štěpán Pokorný.,4082f63f-30e8-375d-a326-b32cf7d86e02,1,0,,2023-06-05 18:33:30+02:00,2023-06-05 19:00:00+02:00
730,f31f959a-bced-3df0-84cd-9270c3465226,"Aktuální reportáže, nejrychlejší zpravodajství i ekonomické aktuality",Moderuje Štěpán Pokorný.,4082f63f-30e8-375d-a326-b32cf7d86e02,1,0,,2023-06-05 19:06:00+02:00,2023-06-05 20:00:00+02:00
731,5de6300e-e92f-34ff-b201-53e7b7ceb7f7,Aktuální reportáže a nejrychlejší zpravodajství,Moderuje Hanka Shánělová.,4082f63f-30e8-375d-a326-b32cf7d86e02,1,0,,2023-06-06 13:06:00+02:00,2023-06-06 14:00:00+02:00
732,e2b5d5cb-6635-31fe-8a63-50bd6e3f56ab,Aktuální reportáže a nejrychlejší zpravodajství,Moderuje Hanka Shánělová.,4082f63f-30e8-375d-a326-b32cf7d86e02,1,0,,2023-06-06 14:06:00+02:00,2023-06-06 15:00:00+02:00
733,e6d4b5d4-4994-39d1-943c-ff257742088a,Aktuální reportáže a nejrychlejší zpravodajství,Moderuje Hanka Shánělová.,4082f63f-30e8-375d-a326-b32cf7d86e02,1,0,,2023-06-06 15:06:00+02:00,2023-06-06 16:00:00+02:00
734,a3f56f72-0a1a-3bfd-9765-96c55f300153,"Aktuální reportáže, nejrychlejší zpravodajství i ekonomické aktuality",Moderuje Vojtěch Bidrman.,4082f63f-30e8-375d-a326-b32cf7d86e02,1,0,,2023-06-06 16:06:00+02:00,2023-06-06 17:00:00+02:00
735,a92c2b69-c13b-3951-a554-05df92118a6b,"Aktuální reportáže, nejrychlejší zpravodajství i ekonomické aktuality",Moderuje Vojtěch Bidrman.,4082f63f-30e8-375d-a326-b32cf7d86e02,1,0,,2023-06-06 17:06:00+02:00,2023-06-06 18:00:00+02:00
736,9dd8be1a-218e-366b-b032-37e3835de12b,"Aktuální reportáže, nejrychlejší zpravodajství i ekonomické aktuality",Moderuje Vojtěch Bidrman.,4082f63f-30e8-375d-a326-b32cf7d86e02,1,0,,2023-06-06 18:33:30+02:00,2023-06-06 19:00:00+02:00
737,71c5ad7c-752d-3918-a6e9-8b036db304b3,"Aktuální reportáže, nejrychlejší zpravodajství i ekonomické aktuality",Moderuje Vojtěch Bidrman.,4082f63f-30e8-375d-a326-b32cf7d86e02,1,0,,2023-06-06 19:06:00+02:00,2023-06-06 20:00:00+02:00
738,ff46e9dc-4d62-3603-b013-6b31d3cd6f9b,Aktuální reportáže a nejrychlejší zpravodajství,Moderuje Hanka Shánělová.,4082f63f-30e8-375d-a326-b32cf7d86e02,1,0,,2023-06-07 13:06:00+02:00,2023-06-07 14:00:00+02:00
739,b30e9f0c-aa11-3892-b18f-28485f3f1506,Aktuální reportáže a nejrychlejší zpravodajství,Moderuje Hanka Shánělová.,4082f63f-30e8-375d-a326-b32cf7d86e02,1,0,,2023-06-07 14:06:00+02:00,2023-06-07 15:00:00+02:00
740,a3d05897-010d-37c9-a8e0-f8e1dcb98e73,Aktuální reportáže a nejrychlejší zpravodajství,Moderuje Hanka Shánělová.,4082f63f-30e8-375d-a326-b32cf7d86e02,1,0,,2023-06-07 15:06:00+02:00,2023-06-07 16:00:00+02:00
741,5a99d7e2-3866-3370-869b-c60fd8e0fc8d,"Aktuální reportáže, nejrychlejší zpravodajství i ekonomické aktuality",Moderuje Vojtěch Bidrman.,4082f63f-30e8-375d-a326-b32cf7d86e02,1,0,,2023-06-07 16:06:00+02:00,2023-06-07 17:00:00+02:00
742,8b6af818-7766-3745-9f52-35977f2b95b1,"Aktuální reportáže, nejrychlejší zpravodajství i ekonomické aktuality",Moderuje Vojtěch Bidrman.,4082f63f-30e8-375d-a326-b32cf7d86e02,1,0,,2023-06-07 17:06:00+02:00,2023-06-07 18:00:00+02:00
743,ab314d00-d34b-39b3-85f1-b54132a9848a,"Aktuální reportáže, nejrychlejší zpravodajství i ekonomické aktuality",Moderuje Vojtěch Bidrman.,4082f63f-30e8-375d-a326-b32cf7d86e02,1,0,,2023-06-07 18:33:30+02:00,2023-06-07 19:00:00+02:00
744,0ccd4e7c-e892-3454-bede-eac3765591c0,"Aktuální reportáže, nejrychlejší zpravodajství i ekonomické aktuality",Moderuje Vojtěch Bidrman.,4082f63f-30e8-375d-a326-b32cf7d86e02,1,0,,2023-06-07 19:06:00+02:00,2023-06-07 20:00:00+02:00
